time(s);category;event;details
60840;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#105
60850;COMM;STATE_CHANGE;Receiver->Re/Tr
60860;COMM;STATE_CHANGE;Re/Tr->Receiver
60860;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#106
60870;COMM;STATE_CHANGE;Receiver->Re/Tr
60880;COMM;STATE_CHANGE;Re/Tr->Receiver
60880;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#107
60890;COMM;STATE_CHANGE;Receiver->Re/Tr
60900;COMM;STATE_CHANGE;Re/Tr->Receiver
60900;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#108
60910;COMM;STATE_CHANGE;Receiver->Re/Tr
60920;COMM;STATE_CHANGE;Re/Tr->Receiver
60920;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#109
60930;COMM;STATE_CHANGE;Receiver->Re/Tr
60940;COMM;STATE_CHANGE;Re/Tr->Receiver
